Postcode,Latitude,Longtitude
HP19 8AT,51.821341,-0.8193403
NE23 2SG,55.093212,-1.5695847
CR0 7AE,51.382106,-0.068575574
SW2 4DU,51.448946,-0.12430225
LE67 9UU,52.685424,-1.2785671
NG19 7JA,53.157836,-1.2196618
LE11 1JX,52.779522,-1.2016258
CF81 8JG,51.678809,-3.2272888
TA24 5NQ,51.205494,-3.4800908
NG31 6LA,52.910815,-0.64503583
EH51 9HE,56.017331,-3.6080943
SE9 1UT,51.457246,0.059468166
TN23 3JJ,51.153592,0.84743641
PR7 2LD,53.646233,-2.6354454
DH6 4JB,54.724693,-1.5134094
SK5 6AH,53.439087,-2.1591976
EH10 7DU,55.892424,-3.2018726
ST6 5EG,53.061028,-2.2109185
DL4 2AL,54.62922,-1.6372287
GU15 2QL,51.324262,-0.75476218
GL56 0DS,51.984057,-1.705648
CH46 8SB,53.405335,-3.1126107
SW16 3LH,51.414719,-0.12317247
B26 3JB,52.452904,-1.784292
PE27 3XS,52.336083,-0.07703982
WS11 5RP,52.709774,-2.0256525
NN10 0HG,52.289682,-0.59179708
RM15 6NH,51.522614,0.29584865
DT5 1BW,50.552048,-2.4377054
WA9 4RA,53.416566,-2.7196424
RH1 5SP,51.214041,-0.16260112
WS15 4EH,52.740292,-1.8650084
SE18 5QE,51.492413,0.05554981
G32 8XQ,55.83879,-4.1741906
NG16 4BG,53.017922,-1.3406378
B66 4SF,52.486904,-1.9590021
ST21 6BH,52.859221,-2.2517018
G75 0DU,55.743093,-4.1847958
SO15 1HP,50.9097,-1.4237515
CF40 2TF,51.636937,-3.4524079
M24 4EL,53.548242,-2.201051
CH7 1AZ,53.167183,-3.1421166
EH7 5RH,55.959165,-3.1714563
BA16 0TE,51.120242,-2.7409443
N3 3LN,51.594368,-0.19921171
HP8 4QA,51.632699,-0.56958003
CB6 1JH,52.45968,0.3018885
EN5 5HW,51.652457,-0.18051715
GU47 9BH,51.344829,-0.79534109
BN2 1EF,50.817605,-0.11805283
M40 0JA,53.523366,-2.1698612
DE11 0SN,52.780626,-1.5797025
CT5 2AJ,51.363883,1.0427631
IP1 4AS,52.065274,1.1320616
ST7 2EY,53.095925,-2.3087249
EH11 2DR,55.943148,-3.2201112
HP17 8ED,51.773767,-0.9263143
PR7 2QE,53.648994,-2.6452297
HX2 9EN,53.754857,-1.8912817
CF15 9PW,51.530854,-3.2987042
W3 6LY,51.506581,-0.26890216
SR5 2HT,54.919458,-1.4026038
DG5 4AH,54.933127,-3.8233863
LS17 8ND,53.838931,-1.4714695
SK10 2RJ,53.2684,-2.114181
N1 9QN,51.534351,-0.11664089
ME10 2SL,51.363775,0.73935954
OX16 4SZ,52.068975,-1.3159378
NN14 2QS,52.441604,-0.82151589
BL1 6RT,53.604019,-2.4357518
DL5 5HH,54.613509,-1.5755568
WS3 2HS,52.616994,-2.0083167
FY8 5FG,53.74112,-2.9440074
LL11 4AH,53.078636,-3.0215989
PE20 2LG,52.888478,-0.080462831
KA8 8JT,55.478584,-4.6211264
HD9 1QJ,53.576966,-1.7717179
DD2 1AU,56.456173,-2.9946431
SE5 8ET,51.460093,-0.090102597
PO10 8SX,50.86835,-0.92686554
WF6 1NQ,53.686105,-1.4206152
DL16 6RG,54.704179,-1.6028858
FK6 6NY,56.023142,-3.915807
BR4 0NJ,51.37613,-0.016063855
E16 4HP,51.518652,0.012638404
SY10 0LT,52.761807,-3.4412311
SO23 9NP,51.054413,-1.3059479
DN6 7BX,53.571313,-1.1990555
EH9 3AA,55.930516,-3.1756174
ST6 6QR,53.073429,-2.186501
CV11 4TQ,52.501285,-1.432714
N1 7RD,51.529512,-0.088207956
CW9 7DP,53.256963,-2.4863272
FK2 7SW,56.018688,-3.7930879
HA5 1RL,51.580045,-0.40046729
LE10 1RJ,52.54569,-1.3726702
G65 9AE,55.9771,-4.0683559
LL14 3PA,52.969285,-3.0738149
CF48 1SJ,51.723368,-3.3630239
NG15 7SB,53.031413,-1.1955963
PR5 0JH,53.740531,-2.6180221
TS1 2EJ,54.572613,-1.2300435
MK41 6AJ,52.163442,-0.502199
LE8 9GH,52.5736,-1.0338772
EH3 9LH,55.941396,-3.2037093
RH19 1QL,51.137409,-0.035134458
DA16 1ST,51.461701,0.11433118
BD17 7HH,53.842694,-1.7640454
CH1 5NY,53.201726,-2.926076
SK8 5QJ,53.388067,-2.1793049
BS16 1LF,51.495316,-2.5317594
CH63 5ND,53.361228,-3.0271154
HD9 5PE,53.596736,-1.855545
RG41 2XP,51.410047,-0.84337795
MK44 2BY,52.241983,-0.37667144
WS1 4JH,52.577097,-1.9888007
W3 6PA,51.513666,-0.26944066
SO40 3GX,50.920845,-1.5006515
L18 5HU,53.384971,-2.908143
L9 9BY,53.468452,-2.9393004
ST3 2AQ,52.984837,-2.1581455
ML6 8EQ,55.859396,-3.9490748
ST4 7HA,53.00643,-2.1937673
DD10 0RA,56.843907,-2.2807672
LL11 3UE,53.054241,-3.0723606
FY5 4PJ,53.877702,-3.0053414
